Gene ID	Log2Ratio	p-value	Max RPKM
NM_032512	-2.46	1.56E-01	2544.69
NM_024895	-1.96	2.01E-02	1158.80
NM_173791	0.60	2.85E-01	39843.94
NM_173806	-0.78	2.40E-01	36.79
NM_002614	-8.74	9.28E-02	54581.84
NM_005764	0.05	9.75E-01	59.07
NR_003377	-8.56	1.06E-01	6290.32
NR_003377	-5.72	8.50E-02	109.23
NM_015009	-0.44	6.84E-01	2294.48
NM_013377	-1.60	2.52E-01	3.04
NM_003768	1.27	1.45E-01	184115.47
NM_024776	1.11	5.36E-02	50455.69
NM_001080471	4.32	3.22E-01	2832.03
NM_002567	-1.03	2.74E-02	213879.21
NM_144962	-1.62	9.82E-02	11.40
NM_000442	1.23	3.14E-01	257.23
NM_018441	-2.08	3.52E-02	6803.19
NM_012392	1.22	1.69E-01	4412.06
NM_015068	0.52	6.51E-01	177776.59
NM_006210	-4.80	2.76E-01	28.20
NM_001146186	-2.78	2.20E-01	51.32
NM_001146184	-2.62	4.26E-01	42.07
NM_001146185	-1.65	4.67E-01	18.13
NM_001146187	-1.36	5.69E-01	21.48
NM_020651	-1.07	2.94E-01	11910.31
NM_021255	3.98	2.34E-01	4458.85
NM_145065	-0.73	1.83E-01	3564.78
NM_001098510	-0.44	4.32E-01	4485.36
NM_015946	1.92	6.51E-03	29685.40
NM_014389	0.61	1.68E-02	53462.57
NM_007169	-0.25	4.34E-01	91.14
NM_148173	0.01	9.53E-01	103.00
NM_148172	0.56	1.21E-01	9019.83
NM_006211	7.32	1.59E-01	159.80
NM_001135690	7.39	2.66E-01	168.26
NM_000285	0.26	6.01E-01	21086.13
NM_002616	0.97	3.04E-01	16845.46
NM_022817	-2.48	1.67E-04	22728.30
NM_016831	-1.39	1.69E-01	5596.12
NR_002790	-1.14	3.47E-01	2.20
NR_027693	-2.27	2.64E-01	408.62
NM_022121	-1.28	1.50E-01	139445.99
NM_014303	0.84	2.42E-01	12963.07
NM_004564	-0.13	7.50E-01	6652.56
NM_000466	-0.96	3.27E-02	15363.82
NM_153818	-0.46	2.80E-01	11843.80
NM_002617	-0.34	1.89E-01	5266.27
NM_003847	-3.40	4.29E-02	10605.47
NM_003846	-1.82	1.46E-02	36123.61
NM_080662	-2.97	4.19E-02	1233.03
NM_000286	-0.37	5.65E-01	8501.62
NM_002618	-0.85	1.51E-03	25681.68
NM_004565	0.59	1.02E-01	10236.57
NM_057174	-0.89	2.86E-01	1538.01
NM_004813	-0.61	2.00E-01	7158.19
NM_002857	-1.00	5.98E-02	50379.50
NM_001131039	0.44	5.62E-01	1676.47
NM_001079867	-0.55	5.32E-01	14908.87
NM_000318	0.36	3.71E-01	26589.14
NM_001127649	-0.78	2.14E-01	15650.43
NM_017929	0.69	3.94E-01	2078.49
NM_003630	0.73	1.57E-01	7624.16
NM_001131024	0.05	9.24E-01	17285.78
NM_001131025	0.15	6.84E-01	7117.75
NM_001131023	0.20	6.75E-01	8585.12
NM_000319	0.34	2.95E-01	627.37
NM_001131026	0.38	3.20E-01	54.27
NM_016559	-6.19	3.14E-01	394.61
NM_000287	-1.00	1.53E-01	31716.52
NM_000288	-1.44	1.62E-02	3304.91
NM_002619	4.31	1.64E-01	19.80
NM_002620	2.09	3.47E-01	4.27
NM_012393	1.86	4.99E-02	34066.30
NM_002622	0.95	3.00E-02	35901.85
NM_012394	1.19	2.26E-03	19821.93
NM_002623	-0.74	4.44E-01	17418.01
NM_002624	-1.04	8.91E-02	4986.17
NM_145897	0.64	6.62E-01	743.08
NM_014260	0.85	1.23E-01	9315.15
NM_002625	-0.78	1.99E-01	42.21
NM_006212	-1.56	1.20E-01	20861.11
NM_001018053	0.10	8.77E-01	2709.33
NM_004566	-2.07	3.98E-01	70523.33
NM_001145443	0.04	9.48E-01	13208.78
NM_004567	0.02	9.83E-01	5414.34
NM_002626	-0.57	1.55E-01	103880.96
NR_024108	0.86	2.04E-01	1836.46
NM_000289	0.08	8.77E-01	10870.69
NM_002627	1.70	9.94E-04	125945.25
NM_005022	1.58	9.30E-04	366444.21
NR_003242	-0.91	2.65E-01	1064.42
NM_053024	0.00	9.95E-01	67298.79
NM_002628	0.58	1.70E-01	93279.76
NM_199346	-0.47	6.85E-01	167.06
NM_014224	2.24	3.47E-01	4.72
NM_002629	1.99	4.42E-02	9229.32
NM_000290	-2.67	7.82E-02	2254.71
NM_001029891	1.00	1.97E-02	37960.99
NM_138575	0.70	1.22E-01	542.15
NM_024989	1.22	5.72E-02	10931.97
NR_027016	-2.92	6.98E-02	2710.52
NM_014489	-2.21	5.64E-02	2369.75
NR_027017	-1.96	1.53E-02	1944.68
NM_001145438	-1.53	1.13E-01	1704.58
NM_001145439	-1.32	1.23E-01	1408.85
NR_027015	-0.98	3.53E-01	370.35
NR_027018	0.87	1.80E-01	1929.91
NR_027014	0.91	4.18E-01	382.14
NM_033419	-4.30	2.05E-01	21946.10
NM_032507	1.75	2.84E-02	6489.71
NM_001017434	-1.84	1.74E-02	1237.31
NM_170725	-0.93	5.68E-02	5353.64
NM_170753	0.38	6.53E-01	198.64
NM_152595	-0.30	6.05E-01	2745.93
NM_024554	-1.84	4.43E-03	277.97
NM_002630	0.58	7.35E-01	7.52
NM_002631	-0.63	1.33E-01	2158.93
NM_002632	4.10	1.82E-01	297.53
NM_005023	-0.37	3.60E-01	9837.27
NM_000291	0.19	5.98E-01	326907.58
NM_138733	-0.58	2.68E-01	41.35
NM_012088	-0.39	4.99E-01	15660.26
NM_005091	-1.17	2.06E-01	30.47
NM_052890	-9.65	1.52E-01	3180.23
NM_052891	-1.16	3.47E-01	2.23
NM_020393	-0.94	5.69E-01	2.20
NM_002633	1.22	1.17E-02	60260.94
NM_018290	1.41	1.03E-01	31127.70
NM_173582	1.61	5.97E-02	17658.48
NM_015599	-1.55	1.59E-02	2269.62
NM_021965	-0.85	6.53E-01	10725.75
NR_015423	-1.23	5.81E-01	65.29
NR_002836	-1.81	4.23E-02	6058.51
NM_001042371	-0.67	1.07E-01	25569.72
NM_017712	-1.02	6.54E-02	14036.58
NM_001102612	-0.63	1.41E-01	1.55
NM_000926	-11.62	1.01E-01	428141.99
NM_006667	-0.68	3.11E-01	115009.81
NM_006320	0.23	4.98E-01	60034.65
NM_024419	-1.11	7.06E-03	12397.40
NM_030948	-3.65	2.91E-01	8110.20
NM_014721	-0.25	8.31E-01	3402.91
NM_001100166	1.11	5.14E-01	2468.67
NM_001100164	1.18	1.33E-01	10616.84
NM_001100165	2.07	1.91E-02	23237.80
NM_183244	-5.98	2.03E-01	63.01
NM_183246	-5.81	7.29E-02	55.95
NM_080672	-4.45	3.28E-01	187.88
NM_001048183	-0.65	3.30E-01	9236.70
NM_023923	1.09	1.02E-01	27162.68
NM_032177	0.78	7.18E-02	26027.28
NM_002634	-0.47	2.74E-01	125131.29
NM_001144831	0.22	7.58E-01	54429.85
NM_004426	0.29	5.79E-01	6435.42
NM_198040	0.87	8.43E-02	4477.11
NM_004427	1.80	3.67E-03	89808.56
NM_024947	-1.66	8.37E-02	56080.38
NM_000444	-2.23	3.86E-02	789.51
NM_024165	0.81	2.05E-01	5845.92
NM_002636	1.14	2.15E-01	8751.86
NR_027692	1.30	2.00E-01	14095.48
NM_133325	-0.17	2.82E-01	4237.17
NM_018288	-0.02	9.50E-01	11311.71
NM_001040443	-0.79	1.73E-01	686.28
NM_001040444	0.54	2.35E-01	2586.70
NM_020889	-1.55	1.89E-01	1030.24
NM_001033561	-0.51	2.28E-01	8605.97
NM_153812	0.42	2.55E-01	43795.13
NM_001007157	-0.52	4.21E-01	7854.93
NM_014660	0.12	7.21E-01	10147.54
NM_001009936	1.29	1.25E-01	13087.95
NM_015651	1.76	2.20E-02	16686.99
NM_005392	-0.81	3.57E-02	40379.20
NM_016436	-0.64	1.29E-01	63543.96
NM_198513	-0.93	3.68E-01	14223.08
NM_016018	-0.13	8.54E-01	3825.04
NM_032205	0.96	3.14E-01	261.40
NM_001101802	-0.54	3.36E-01	18897.16
NM_016621	-0.17	6.00E-01	317.48
NM_001135862	-0.63	6.66E-01	492.93
NM_138415	0.20	8.93E-01	98.51
NM_024297	0.62	1.13E-01	1673.77
NR_002801	-6.40	2.97E-01	2428.97
NM_015153	0.52	2.15E-01	30570.42
NM_032758	0.93	1.50E-02	16326.54
NM_032335	0.42	4.60E-01	2602.87
NM_001015877	0.46	4.98E-01	9166.40
NM_032458	0.75	2.32E-01	27940.55
NM_016483	1.12	3.79E-01	647.86
NM_173341	1.27	2.90E-01	2979.14
NM_015107	-1.84	4.92E-03	51971.82
NM_006623	0.12	8.63E-01	80304.09
NM_001145643	-2.84	4.19E-01	16.05
NM_017934	-0.76	8.64E-02	57051.73
NM_001122670	-1.11	1.01E-01	16698.88
NM_002637	0.35	3.28E-01	653.83
NM_000292	-1.56	9.21E-04	19914.35
NM_001031835	-1.18	1.27E-01	58148.40
NM_000293	-0.08	5.72E-01	332.64
NM_006213	-0.14	7.81E-01	43.05
NM_000294	-0.72	2.76E-03	16631.78
NM_007350	2.29	3.83E-02	194094.48
NM_003311	1.82	1.06E-01	21289.30
NM_012396	-1.54	8.24E-02	15175.73
NM_015157	-0.07	9.26E-01	464.31
NM_001144759	0.41	4.51E-01	23766.40
NM_001144758	1.30	3.11E-01	1839.28
NM_001134437	-0.29	8.55E-01	5766.65
NM_001134439	1.46	8.01E-02	2052.17
NM_001134438	3.10	4.31E-02	23046.44
NM_145753	3.76	6.89E-02	13990.02
NM_198850	-1.61	3.84E-04	4654.10
NM_194449	0.14	7.88E-01	16620.30
NM_015020	-1.17	3.86E-02	24055.95
NM_178500	-1.91	2.41E-01	238.20
NM_001143804	-0.48	7.20E-01	335.45
NM_001008489	-1.03	2.01E-02	2170.99
NM_005169	-1.70	1.02E-01	43.64
NM_003924	-1.64	3.47E-01	3.11
NM_014172	-0.99	2.17E-02	8013.54
NM_001135861	-0.84	2.04E-01	2744.82
NM_020901	0.76	1.58E-01	7040.58
NM_006608	1.73	1.27E-02	7956.51
NM_020432	-1.73	2.17E-01	8150.24
NM_001127360	0.39	4.82E-01	4294.92
NM_001127357	0.41	3.98E-01	6796.79
NM_001127359	0.55	4.88E-02	3761.14
NM_001127358	1.47	8.08E-03	24242.81
NM_006214	-0.65	4.40E-01	14322.38
NM_001037537	0.97	3.55E-01	495.13
NM_001100876	0.40	6.94E-01	927.53
NM_174933	1.12	4.42E-01	1391.70
NM_001100877	1.53	5.38E-01	820.03
NM_001099335	3.69	3.13E-02	126.00
NM_014759	3.71	3.20E-02	124.08
NM_032439	-2.73	2.75E-01	1733.94
NM_001143774	-1.44	2.10E-01	150.03
NM_153373	0.45	4.05E-01	1737.39
NM_015886	-1.42	2.21E-01	150.92
NM_153370	1.60	3.47E-01	0.33
NM_002638	-0.75	3.49E-01	67.87
NM_018425	0.58	9.66E-02	28021.61
NM_018323	-0.47	4.61E-01	26051.63
NM_058004	-1.05	4.95E-02	55314.87
NM_002650	-0.91	8.57E-02	8127.07
NR_003563	-0.83	3.20E-01	222.33
NR_003700	0.31	4.44E-01	90.00
NM_002651	-0.60	2.30E-01	13764.87
NM_153685	1.11	4.04E-01	295.67
NM_016166	-0.20	3.34E-01	8053.43
NM_173206	0.67	5.20E-02	2441.38
NM_004671	0.67	7.29E-02	3670.23
NM_006099	-0.86	1.15E-01	48841.60
NM_015897	0.00	9.91E-01	7245.18
NM_006346	0.55	1.79E-01	4354.48
NM_007166	-0.27	5.67E-01	28508.63
NM_001008660	1.93	4.98E-04	36398.64
NM_012407	-2.05	7.89E-03	7423.80
NM_001039584	-0.25	4.73E-01	308.54
NM_001039583	0.79	1.14E-01	985.55
NM_017933	3.12	2.52E-01	1279.04
NM_001100818	3.79	7.03E-02	8563.99
NM_145887	0.55	4.49E-01	1204.11
NM_018494	0.69	4.22E-01	759.89
NM_145886	0.97	8.39E-02	2348.60
NM_001142864	0.51	6.14E-01	3308.15
NM_022068	6.57	1.62E-01	101.36
NM_025049	0.70	3.21E-01	2451.05
NM_181643	-3.35	3.46E-01	2644.58
NM_020473	-0.30	6.85E-01	1009.02
NM_002641	0.28	4.92E-01	8002.42
NM_004855	0.16	7.81E-01	3442.59
NM_153747	-0.67	2.91E-01	6159.25
NM_002642	-0.20	6.74E-01	9663.38
NM_173074	-0.43	5.93E-01	761.18
NM_002643	0.15	7.39E-01	3801.26
NM_017733	-1.34	9.90E-02	6746.10
NM_001127178	-0.39	4.66E-01	15187.83
NM_004569	-0.72	1.74E-01	6647.83
NM_005482	1.64	9.44E-05	52232.24
NM_004278	0.89	7.56E-02	2630.30
NM_145167	-1.36	3.94E-02	35091.39
NM_012327	-0.67	2.65E-01	20727.16
NM_176787	0.02	9.64E-01	6629.19
NM_032634	-1.13	1.39E-02	40038.03
NM_152850	1.89	1.35E-01	2509.55
NM_153682	-1.53	4.34E-02	1712.86
NM_153681	-0.25	6.28E-01	2219.47
NR_028352	-0.12	8.03E-01	696.43
NM_004204	-1.61	2.65E-02	19700.18
NM_148920	-1.31	6.26E-03	22059.98
NM_002644	-1.57	4.08E-02	137.57
NM_033198	-1.42	1.13E-01	6762.84
NM_015937	0.16	7.47E-01	52210.00
NM_080476	-0.16	7.33E-01	11922.17
NM_017837	-0.97	9.19E-02	9865.71
NM_178517	0.77	2.46E-01	26893.09
NM_017861	-1.58	3.45E-02	39596.78
NM_025163	-1.22	9.32E-02	5350.34
NM_017916	0.81	3.00E-01	13914.71
NM_138789	-0.61	5.48E-01	1390.58
NM_001082619	-0.23	8.31E-01	414.45
NM_173494	-0.27	7.34E-01	6.78
NM_152309	3.49	3.87E-01	1075.93
NM_002645	-0.33	8.50E-01	4063.85
NM_002646	-3.02	1.00E-03	33023.51
NM_004570	-7.10	1.01E-01	430.39
NM_002647	0.70	1.15E-01	13181.66
NM_006218	0.00	9.98E-01	15891.96
NM_006219	-0.83	1.65E-02	22960.02
NM_005026	3.48	1.01E-03	22950.80
NM_002649	6.16	3.11E-01	147.61
NM_052880	-4.84	5.80E-03	5947.66
NM_001135911	-4.10	2.30E-03	2652.05
NM_181504	-5.10	1.68E-02	14757.08
NM_181524	-4.22	9.35E-05	10582.77
NM_181523	0.18	7.04E-01	762.18
NM_005027	-1.18	5.53E-02	113376.60
NM_003629	-1.73	3.22E-02	67115.40
NM_001114172	1.63	4.63E-01	3677.66
NM_014602	0.36	5.25E-02	31276.10
NM_001142633	-2.48	2.00E-01	92.97
NM_014308	-2.37	1.95E-01	103.63
NM_001010855	1.96	9.75E-02	3.89
NM_152671	0.06	7.28E-01	2508.74
NM_015040	0.39	1.74E-01	33348.65
NM_178273	-1.22	1.48E-01	95.08
NM_013439	-1.11	5.30E-01	86.46
NM_178272	-0.86	3.41E-01	78.70
NM_013440	-1.67	1.37E-02	38508.40
NM_175047	-1.48	4.55E-02	20685.69
NM_178238	-1.16	7.95E-02	13017.45
NM_002648	1.82	2.07E-02	26560.96
NM_006875	-0.15	7.39E-01	12499.67
NM_001001852	-0.76	4.78E-02	20646.48
NM_006221	0.35	3.07E-01	11945.64
NR_023916	0.38	2.98E-01	826.88
NM_006223	-0.54	2.11E-01	3230.76
NR_003571	-0.62	1.85E-01	1877.36
NM_032409	1.31	9.31E-02	43340.25
NM_017884	2.55	5.95E-02	2445.26
NM_002652	-9.84	3.43E-01	111055.73
NM_005028	0.83	1.07E-01	50845.70
NM_003559	-0.52	2.67E-01	71010.37
NM_024779	-1.89	5.35E-05	80705.77
NM_001146260	-1.16	1.58E-01	4703.09
NM_001146259	-0.52	1.11E-01	1775.19
NM_001146258	-0.08	9.14E-01	319.42
NM_001135637	-1.76	2.25E-01	10612.35
NM_001135638	-0.15	2.55E-01	502.49
NM_001135636	-0.12	7.84E-01	31066.68
NM_003557	0.05	8.73E-01	36269.11
NM_003558	-7.70	3.25E-02	1685.94
NM_012398	0.02	9.74E-01	3602.77
NR_027712	-0.04	8.89E-01	1119.86
NM_001135219	2.27	4.06E-01	2220.02
NM_173492	3.22	3.87E-01	4686.70
NM_016518	-1.21	1.78E-01	257.34
NR_002319	-0.35	4.45E-01	40688.09
NM_001018109	-0.44	5.42E-01	6933.36
NM_003662	0.28	7.29E-01	2663.55
NM_001101387	-3.34	3.35E-01	22.86
NM_014338	-0.58	4.83E-01	4975.34
NM_020362	0.55	4.03E-01	2840.72
NM_006224	-0.26	6.21E-01	23780.75
NM_012399	0.48	2.43E-01	33445.20
NM_181671	-3.34	3.62E-02	21528.97
NM_012417	-1.31	2.86E-01	2104.65
NM_001130848	0.84	1.11E-01	3933.86
NM_004910	0.98	1.12E-01	4525.76
NM_020845	-0.29	7.29E-01	7999.41
NM_031220	-1.02	3.69E-01	7468.85
NM_014889	0.40	4.10E-01	43247.15
NM_002653	0.13	9.17E-01	13568.78
NM_153427	2.58	9.25E-03	294.84
NM_153426	2.64	6.06E-02	698.42
NM_000325	2.91	1.82E-02	1287.06
NM_005029	1.19	1.64E-01	56.55
NM_004764	6.75	3.51E-01	150.12
NM_001135721	0.93	3.84E-01	53.84
NM_018068	1.59	3.42E-01	124.11
NM_001008496	-0.32	8.15E-01	2.18
NM_152431	0.54	4.28E-01	513.92
NM_145119	-0.10	8.09E-01	4882.53
NM_001032396	0.03	9.54E-01	5039.55
NM_022368	0.42	4.49E-01	145.83
NM_014819	0.12	7.40E-01	103382.50
NM_000296	-0.37	5.94E-01	55092.49
NM_001009944	0.12	8.43E-01	64240.33
NM_138295	-4.66	3.34E-01	2417.76
NM_052892	-2.68	1.36E-01	695.04
NM_001076780	-2.55	1.46E-01	239.28
NM_181536	-1.62	2.40E-01	13.46
NM_000297	1.47	8.84E-02	21986.20
NM_016112	-4.26	7.93E-02	19.20
NM_014386	-0.19	7.85E-01	718.57
NM_138370	0.08	9.38E-01	1948.87
NM_006071	0.81	6.33E-01	888.87
NM_138694	-4.64	1.40E-01	149.57
NM_170724	-2.58	2.62E-01	49.07
NM_177531	-8.53	3.17E-01	3297.71
NM_006823	-0.90	6.62E-01	3711.01
NM_181839	0.01	9.95E-01	387.97
NM_181795	-4.45	1.62E-01	24667.77
NM_181794	-2.99	1.39E-02	1928.50
NM_032471	-2.61	1.21E-01	3224.27
NM_007066	1.21	1.07E-01	10181.12
NM_181805	2.66	1.10E-02	674.98
NM_181804	3.55	3.03E-03	10918.97
NM_000298	-6.91	3.47E-01	120.19
NM_181871	-6.74	3.47E-01	106.77
NM_002654	1.41	2.99E-02	762195.32
NM_182470	1.96	4.16E-02	21471.64
NM_182471	2.48	3.50E-02	90284.68
NM_004203	0.03	9.64E-01	12847.00
NM_182687	0.28	6.75E-01	11315.71
NM_002741	-0.17	8.57E-01	15550.08
NM_213560	1.17	1.52E-01	31330.06
NM_006256	0.58	2.68E-02	47753.50
NM_013355	0.11	8.16E-01	4462.86
NM_004571	0.28	2.93E-01	12011.19
NM_022062	7.06	3.19E-01	7629.81
NM_001005337	-3.41	1.94E-01	1806.24
NM_000299	-1.23	2.20E-01	338.23
NM_004572	-2.29	1.18E-01	686.47
NM_001005242	-1.33	2.21E-01	17261.18
NM_007183	-2.50	4.22E-03	36946.77
NM_001005476	-1.24	1.84E-02	74536.22
NM_003628	-0.18	2.64E-01	457.83
NM_015900	-1.21	5.38E-01	3.84
NM_003561	-2.28	1.98E-02	239.14
NM_030821	-1.39	3.25E-03	6166.56
NM_032562	0.70	1.47E-01	1.62
NM_012320	-0.27	4.67E-01	15263.19
NM_001128203	-1.45	2.67E-01	1349.33
NM_007069	-1.34	3.62E-01	23406.48
NM_000928	-2.31	7.57E-02	16.13
NM_000300	-2.76	2.15E-01	101.15
NM_001161727	-2.68	1.74E-01	109.64
NM_001161728	-2.42	2.25E-01	81.89
NM_001161729	-1.93	3.32E-01	312.29
NM_012400	-6.27	3.46E-01	2514.91
NM_022819	-3.19	1.04E-01	21.42
NM_015715	-3.56	3.12E-01	258.12
NM_024420	0.09	9.37E-01	2021.30
NM_001114633	-1.48	1.41E-02	2949.04
NM_001159322	-1.68	6.91E-02	182.36
NM_001159323	-0.51	4.72E-01	209.40
NM_003706	0.95	5.44E-01	390.42
NM_178034	-1.97	2.72E-01	20.66
NM_001080490	-3.04	5.02E-02	8.21
NM_213600	-10.91	1.14E-03	1923.02
NM_000929	5.11	3.47E-01	0.03
NM_003560	-2.93	1.38E-01	2809.78
NM_001004426	-2.02	7.79E-02	2738.14
NM_005084	-2.37	4.21E-02	40.45
NM_001007267	-0.90	3.81E-01	1356.06
NM_007366	-0.64	3.04E-01	1234.04
NM_001031689	1.38	1.55E-01	29887.81
NM_021796	-3.69	3.52E-01	3789.63
NM_182832	-2.15	1.06E-01	430.55
NM_001130715	3.56	8.02E-02	46.87
NM_001130716	5.00	1.23E-01	1188.53
NM_016619	7.20	5.79E-02	5342.73
NM_001029869	0.61	6.65E-01	41.72
NM_001012973	5.70	3.03E-01	586.00
NM_001114634	2.30	6.11E-02	1556.23
NM_002655	3.48	5.68E-02	3848.09
NM_001114635	4.57	2.64E-02	2164.02
NM_001080953	4.10	9.43E-02	391.35
NM_001080955	4.25	7.70E-02	277.22
NM_001080954	4.62	9.94E-02	644.98
NM_001080952	5.52	1.06E-01	1001.23
NM_002656	5.84	1.73E-01	740.16
NM_001080951	6.17	2.02E-01	1145.19
NM_006718	6.20	2.68E-01	984.76
NM_001080956	6.82	5.90E-02	1336.77
NM_002657	0.14	8.20E-01	36646.15
NM_033011	3.04	7.63E-02	1082.44
NM_000930	4.75	6.68E-02	13495.75
NM_002658	4.17	5.84E-04	2060.41
NM_001145031	9.55	9.34E-02	18433.07
NM_001005377	3.17	3.46E-03	4425.87
NM_001005376	5.23	2.10E-04	5003.05
NM_002659	6.34	9.90E-03	27509.30
NM_153021	2.53	1.74E-01	235.48
NM_024829	1.24	4.39E-01	11374.65
NM_001159727	0.82	9.17E-02	12754.85
NM_173542	0.91	3.94E-02	28070.14
NM_182734	-1.34	3.32E-01	10174.55
NM_015192	0.24	7.42E-01	1097.52
NM_004573	-2.04	7.55E-02	201.02
NM_000932	0.24	4.26E-01	297.70
NM_182797	-1.84	2.92E-02	8794.19
NM_000933	-0.86	2.33E-01	1806.94
NM_001130964	-1.82	7.60E-05	4813.51
NM_006225	2.22	2.29E-01	7103.45
NM_133373	-0.98	3.69E-01	52017.74
NM_032726	-1.05	3.19E-02	2584.38
NM_016341	0.53	5.48E-01	22827.43
NM_002660	0.04	9.43E-01	46166.97
NM_182811	0.70	7.37E-02	29028.78
NM_002661	-1.17	1.99E-01	3814.21
NM_014996	-5.04	3.99E-02	5346.82
NM_001130961	-2.88	1.82E-03	1379.65
NM_001130960	-2.54	7.66E-02	5459.24
NM_014638	-3.12	2.96E-01	3392.74
NM_001114661	0.40	8.33E-01	868.25
NM_001144382	4.53	1.02E-01	2672.01
NM_015184	4.58	1.26E-01	1184.23
NM_018390	-2.21	1.64E-02	529.72
NM_018390	-1.49	2.98E-02	973.25
NM_153268	0.18	7.14E-01	970.96
NM_001134478	1.70	1.57E-01	1635.92
NM_001005473	1.94	2.65E-01	288.57
NM_033123	-0.60	3.47E-01	0.66
NM_001130081	-1.15	3.23E-01	9082.26
NM_002662	0.06	9.56E-01	955.21
NM_002663	-0.02	9.68E-01	8087.05
NM_001031696	-0.33	7.13E-01	2232.09
NM_012268	0.48	3.91E-01	13184.31
NM_138790	1.29	3.51E-01	7.55
NM_152666	4.25	3.42E-01	103.27
NM_178836	0.64	2.98E-01	13426.97
NM_201379	-1.47	1.72E-01	95183.08
NM_000445	-1.04	7.36E-02	221426.94
NM_201383	-0.98	2.27E-01	20964.17
NM_201382	-0.49	3.64E-01	25954.40
NM_201381	0.25	6.73E-01	4220.83
NM_201380	1.47	1.97E-02	216134.51
NM_201378	2.23	1.71E-01	31044.23
NM_201384	4.00	1.28E-02	355354.99
NM_002664	0.55	5.13E-01	9.60
NM_016445	1.43	3.54E-01	5954.46
NM_001001974	-0.80	1.67E-01	6966.34
NM_021622	-0.26	5.40E-01	20965.70
NM_021623	2.05	3.77E-02	38643.77
NM_019091	0.55	4.52E-02	12672.86
NM_020904	1.29	9.45E-02	3928.32
NM_001161354	2.25	4.92E-02	3082.34
NR_026568	-3.49	3.71E-03	649.96
NM_019012	-0.92	2.40E-01	5191.34
NM_001143821	-0.92	2.63E-01	2868.02
NM_014935	-4.73	6.44E-02	53703.19
NM_175058	-3.26	4.60E-02	4029.42
NM_032639	-1.54	7.72E-02	237.36
NM_015899	-0.07	8.47E-01	3773.67
NM_001130035	-4.17	9.32E-02	3096.86
NM_021200	-2.53	2.00E-01	222.45
NM_001130034	-2.43	1.04E-01	330.26
NM_001130036	-1.72	1.17E-01	247.62
NM_001130033	-1.10	1.85E-01	137.24
NM_017958	-0.17	5.61E-01	2352.70
NM_001100623	-0.07	8.41E-01	2997.99
NM_001161498	-5.70	2.45E-01	331.36
NM_024310	0.16	8.76E-01	3286.48
NM_024613	-3.32	3.14E-05	142615.01
NM_001029884	-1.82	4.23E-01	674.05
NM_022835	0.19	7.61E-01	10179.44
NM_015549	-1.74	3.81E-03	3061.39
NM_001129729	-2.00	3.97E-02	1309.23
NM_001129728	-1.84	3.32E-01	6146.94
NM_001129731	-1.32	3.22E-01	2404.65
NM_015432	-1.27	9.01E-02	227.26
NM_001129727	1.54	3.98E-01	5391.05
NM_052909	-3.58	3.43E-01	9418.35
NM_020631	-0.71	4.47E-01	831.92
NM_001042665	0.15	8.54E-01	408.20
NM_198681	0.27	7.25E-01	529.41
NM_001042664	1.31	5.33E-01	833.84
NM_001042663	1.71	3.26E-01	1019.20
NM_018173	-6.94	1.63E-01	7623.72
NM_001144856	-4.93	1.71E-03	1865.60
NM_001144857	-3.87	8.01E-02	336.01
NM_001004330	-1.98	3.42E-01	58.47
NM_020715	-4.67	1.10E-02	25639.03
NM_172069	1.82	1.24E-01	2664.25
NM_024927	-1.92	4.28E-02	9518.94
NM_018049	-0.20	4.76E-01	24207.60
NR_027782	-1.01	2.92E-02	3680.97
NR_027774	-0.69	3.28E-01	3023.28
NM_014798	-0.15	7.44E-01	13081.72
NR_024386	-2.42	7.21E-03	8991.25
NM_015164	1.39	3.98E-03	71485.46
NM_001080475	0.11	8.34E-01	7671.54
NM_032129	-1.32	4.16E-02	355.51
NM_001160184	-0.29	6.80E-01	414.79
NM_016274	3.66	6.30E-03	12094.16
NM_025201	0.76	2.45E-01	7964.45
NM_024889	-7.14	2.12E-01	2365.88
NM_001145024	-0.49	6.32E-01	13.39
NM_000301	-0.63	5.52E-01	6.95
NR_003506	-2.02	1.66E-01	112.04
NM_002665	-2.53	9.34E-02	509.27
NM_001032392	-2.14	6.40E-02	239.73
NM_018465	-0.03	9.48E-01	5021.27
NM_001145311	-4.74	1.47E-01	1484.66
NM_002666	-4.52	1.42E-01	1317.94
NM_001122	1.85	2.92E-01	21293.35
NM_001164194	0.06	9.29E-01	4624.71
NM_001164189	0.99	1.40E-01	25415.46
NM_005817	1.26	1.93E-02	68730.29
NM_001080400	-0.83	3.73E-01	4250.90
NM_001013706	-6.07	8.07E-02	4480.28
NM_005030	0.82	2.38E-01	78825.97
NM_001163022	0.08	9.32E-01	375.21
NM_001163023	0.13	8.27E-01	631.32
NM_018474	0.95	1.00E-01	2433.35
NM_006622	0.74	5.10E-01	94174.55
NM_004073	2.76	3.46E-03	4462.72
NM_014264	0.65	2.28E-01	15697.40
NR_026557	-1.46	7.36E-02	35.02
NM_015993	-0.16	9.12E-01	1761.99
NM_002667	0.68	6.88E-01	7.02
NM_000302	2.52	2.91E-02	260391.39
NM_000935	0.54	5.01E-01	40692.09
NM_182943	1.42	4.70E-02	7490.65
NM_001084	1.94	1.25E-02	57966.46
NM_199478	-0.10	9.25E-01	62.66
NM_000533	0.03	9.73E-01	66.10
NM_001128834	1.52	2.21E-01	90.53
