Gene ID	Log2Ratio	p-value	Max RPKM
NM_014049	-0.11	8.45E-01	7146.65
NM_001608	2.80	2.31E-02	16.19
NM_000016	0.30	6.47E-01	6153.27
NM_001127328	0.81	3.46E-01	2917.36
NM_000017	-0.99	3.25E-01	3831.48
NM_001609	-0.82	1.84E-01	23536.50
NM_000018	-1.83	3.28E-01	8959.17
NM_001033859	-0.91	2.36E-01	36998.35
NM_013227	5.17	2.96E-01	155.97
NM_001135	5.48	2.22E-01	145.83
NM_014716	-1.15	1.96E-01	253.81
NM_012287	-0.48	3.54E-01	73521.82
NM_030649	-0.81	4.06E-01	2534.98
NM_000019	1.00	8.29E-02	41136.22
NM_005891	1.61	7.99E-03	33708.63
NM_022735	-0.11	8.49E-01	71136.72
NM_001135704	-2.15	6.82E-02	726.17
NM_001135705	-2.04	2.78E-01	584.96
NM_024722	-1.85	3.23E-02	2296.08
NM_001135707	-1.63	5.56E-03	1430.09
NM_001135706	-0.72	2.27E-01	258.64
NR_024150	-3.41	6.01E-02	6415.51
NM_001042473	-1.43	8.46E-03	1544.64
NM_145698	-0.08	9.09E-01	9266.97
NM_032360	-0.33	2.66E-01	24381.07
NM_001039844	-1.66	1.66E-01	13835.17
NM_032592	-1.02	1.50E-01	5483.73
NM_001127219	0.50	4.93E-01	1078.84
NM_001031854	-1.00	5.45E-01	2.25
NM_001082487	-0.62	3.95E-01	889.78
NM_001082486	0.06	8.98E-01	5400.31
NM_022914	0.47	4.64E-01	6156.25
NM_000789	-5.73	2.12E-01	9961.72
NM_152830	-2.60	1.69E-02	265.82
NM_021804	-2.40	7.13E-03	33.59
NM_133492	-6.84	5.43E-02	571.00
NM_001010887	-2.57	1.71E-02	4696.49
NM_018367	-0.82	6.37E-01	8306.12
NM_000665	-1.92	5.91E-02	100.31
NM_015831	-1.44	2.40E-01	755.34
NM_014977	-0.65	1.47E-01	20408.86
NM_001296	-6.00	2.60E-01	4458.46
NM_020311	-3.59	1.53E-01	69161.25
NM_178445	1.66	2.68E-01	258.09
NM_016557	2.67	3.40E-01	153.41
NM_198830	-0.70	3.84E-01	26052.76
NM_001096	-0.46	7.90E-01	4595.02
NM_020186	2.11	3.28E-03	13521.60
NM_002197	1.43	7.77E-02	52095.24
NM_001098	-0.37	1.64E-01	37859.68
NM_001037161	-1.44	1.22E-01	9559.61
NM_015547	-0.61	4.92E-01	35.51
NM_147161	-0.26	7.19E-01	176.96
NM_130767	-0.74	6.80E-01	8.96
NM_018473	0.76	3.63E-01	24020.86
NM_001160094	0.77	3.98E-01	861.76
NM_006821	-1.04	1.21E-01	17706.42
NM_152331	-4.78	1.27E-01	20524.46
NM_001037162	-4.73	1.41E-01	1477.94
NM_181864	-0.47	4.78E-01	807.48
NM_181865	-0.08	9.48E-01	289.08
NM_007274	1.19	3.85E-02	16367.71
NM_181866	1.23	1.02E-01	650.24
NM_005469	-0.26	6.47E-01	4442.89
NM_001033583	0.20	7.81E-01	1791.66
NM_001037171	2.87	2.36E-02	6320.41
NM_004035	-2.38	9.44E-03	80848.58
NM_007292	-0.23	7.18E-01	11979.71
NM_003500	-0.34	8.12E-01	854.07
NM_003501	-0.96	2.58E-03	687.29
NM_001101667	-0.24	5.78E-01	2269.53
NM_001142808	-0.12	9.12E-01	26.20
NM_001105516	0.73	6.45E-01	45.13
NM_001142807	2.76	4.20E-01	56.17
NM_004300	-0.51	1.00E-01	25389.13
NM_007099	-0.49	8.64E-02	13087.88
NM_001040649	-0.30	3.05E-01	1758.74
NR_024080	0.64	4.57E-01	3770.29
NM_001610	-1.72	9.87E-02	9951.71
NM_001131064	-1.06	2.50E-01	1758.21
NM_001611	-1.57	1.98E-01	119.24
NM_001111034	-0.80	5.00E-01	108.04
NM_001111036	-0.59	4.53E-01	93.24
NM_001111035	-0.57	5.44E-01	94.42
NM_016361	-0.91	2.45E-01	4374.03
NM_001037172	-0.63	4.13E-01	5304.24
NM_152282	0.45	4.98E-01	1649.23
NM_001134194	-7.99	8.97E-03	532.69
